N,k,k_over_N,neff_B,neff_B_std,neff_normalized,baseline
256,1,0.00390625,45.914834356617575,13.542537734561941,0.601661602039677,76.313386463359
256,2,0.0078125,22.294363186613698,1.931213534506472,0.29214223375237164,76.313386463359
256,3,0.01171875,25.720717577846905,2.8918396282201533,0.33704070504322875,76.313386463359
256,4,0.015625,21.44508482515032,0.9195785659433146,0.28101340824976934,76.313386463359
256,6,0.0234375,29.12463599384815,5.800500739967008,0.3816451784357914,76.313386463359
256,8,0.03125,30.62303014790329,2.0992184473320847,0.40127992698380105,76.313386463359
256,12,0.046875,36.0822392836282,2.456518238318072,0.4728166440491102,76.313386463359
256,16,0.0625,41.868285071664616,2.455935460992056,0.5486361831389464,76.313386463359
256,24,0.09375,47.09786485641149,1.634421371746793,0.6171638691335628,76.313386463359
256,32,0.125,51.27516690498313,2.367941912765869,0.6719026540592891,76.313386463359
256,48,0.1875,56.62878769608143,2.176072301780131,0.7420557561453665,76.313386463359
256,64,0.25,60.952467538932424,1.112931318986982,0.7987126553242144,76.313386463359
512,1,0.001953125,50.72174420689464,26.870010662936597,0.3390394994341876,149.60423281518104
512,2,0.00390625,38.37185440699882,8.360722689435969,0.2564890958292796,149.60423281518104
512,3,0.005859375,48.49427737485154,14.045172724999004,0.32415043653718467,149.60423281518104
512,4,0.0078125,39.214581445393534,3.2768975180696214,0.2621221385750407,149.60423281518104
512,6,0.01171875,43.25028801210611,3.270569579254774,0.28909802348665437,149.60423281518104
512,8,0.015625,47.12182099409409,1.1081431323981936,0.31497652243775565,149.60423281518104
512,12,0.0234375,54.51604796762443,2.5543461957182663,0.36440177488141523,149.60423281518104
512,16,0.03125,60.13816777620461,5.459930988858973,0.4019817263492702,149.60423281518104
512,24,0.046875,69.76400211084334,3.4817671070842224,0.4663237182401704,149.60423281518104
512,32,0.0625,81.46968194430929,2.0522010314327583,0.5445680273295194,149.60423281518104
512,48,0.09375,95.26887641492615,3.3441240426106904,0.6368060222775914,149.60423281518104
512,64,0.125,106.45088856352804,4.381740341193951,0.7115499779677756,149.60423281518104
512,96,0.1875,114.91100823168385,2.678885281768913,0.768099979989492,149.60423281518104
512,128,0.25,122.64689526832902,2.9305736584516113,0.8198089917672668,149.60423281518104
1024,1,0.0009765625,149.36557203522253,60.11387158302269,0.49475102038433444,301.90048303324727
1024,2,0.001953125,85.65130848281214,26.691291728821696,0.2837070932191243,301.90048303324727
1024,3,0.0029296875,69.74215741420706,4.909315476218165,0.2310104201010059,301.90048303324727
1024,4,0.00390625,75.34100823190495,6.116081953873679,0.24955577240201998,301.90048303324727
1024,6,0.005859375,71.88420184104858,8.751789749984013,0.23810562049724251,301.90048303324727
1024,8,0.0078125,80.859350797804,7.548423831304234,0.2678344532125152,301.90048303324727
1024,12,0.01171875,84.38321618505076,4.957697367925125,0.27950672796955384,301.90048303324727
1024,16,0.015625,91.3606626595254,2.373521370152857,0.30261847129759034,301.90048303324727
1024,24,0.0234375,106.49314467412717,2.419887299264668,0.352742544841836,301.90048303324727
1024,32,0.03125,115.48617381719639,5.063028378490692,0.382530602988397,301.90048303324727
1024,48,0.046875,142.4539895135732,4.798350920697893,0.4718574415062636,301.90048303324727
1024,64,0.0625,160.89535303960673,2.3813063635847773,0.5329416880127611,301.90048303324727
1024,96,0.09375,192.88470128064597,5.4706779101546,0.6389015987742035,301.90048303324727
1024,128,0.125,213.68870978656628,3.629466578919244,0.7078117518713393,301.90048303324727
2048,1,0.00048828125,322.5005785106014,118.6474893090901,0.5385043890618385,598.8819869647663
2048,2,0.0009765625,224.7769647252705,88.88960481330389,0.3753276432047616,598.8819869647663
2048,3,0.00146484375,173.3903654084145,31.75753163202765,0.2895234272902175,598.8819869647663
2048,4,0.001953125,158.1392766811021,19.435156000249417,0.26405749400241324,598.8819869647663
2048,6,0.0029296875,140.13988900457852,8.619656526128372,0.2340025114377389,598.8819869647663
2048,8,0.00390625,141.6343086278104,9.322338263032513,0.23649786053114855,598.8819869647663
2048,12,0.005859375,148.46924185455234,11.32067440464566,0.24791068204775904,598.8819869647663
2048,16,0.0078125,146.54917921787182,7.711260784301138,0.24470460359078003,598.8819869647663
2048,24,0.01171875,165.7818667235925,2.454812875609541,0.27681892314678325,598.8819869647663
2048,32,0.015625,185.4377050375026,11.142497570116662,0.30963981063670293,598.8819869647663
2048,48,0.0234375,209.5183478054546,8.876419216067497,0.34984913950631324,598.8819869647663
2048,64,0.03125,236.95200260507985,6.129869306489262,0.3956572542880979,598.8819869647663
2048,96,0.046875,282.2461873473452,7.251671180082425,0.47128849003760476,598.8819869647663
2048,128,0.0625,324.8519948351628,7.174274203127559,0.5424307324412392,598.8819869647663
